player,pos,salary,date
Julyan Stone,PG/SG,3000,2018-02-27
Xavier Munford,PG/SG,3000,2018-02-27
Isaiah Whitehead,PG/SG,3000,2018-02-27
Demetrius Jackson,PG,3000,2018-02-27
Paul Zipser,SF/PF,3000,2018-02-27
John Holland,SG/SF,3000,2018-02-27
Wade Baldwin,PG/SG,3000,2018-02-27
Rodney McGruder,SG/SF,3000,2018-02-27
Marshall Plumlee,C,3000,2018-02-27
Timothe Luwawu-Cabarrot,SG/SF,3000,2018-02-27
James Webb III,SF,3000,2018-02-27
Jake Layman,SF/PF,3000,2018-02-27
Ryan Arcidiacono,PG,3000,2018-02-27
Marcus Paige,PG,3000,2018-02-27
Milton Doyle,PG,3000,2018-02-27
Malik Monk,PG/SG,3000,2018-02-27
Dwayne Bacon,SG/SF,3000,2018-02-27
Mangok Mathiang,PF/C,3000,2018-02-27
Antonio Blakeney,PG,3000,2018-02-27
Ante Zizic,C,3000,2018-02-27
Monte Morris,PG,3000,2018-02-27
Tyler Lydon,PF,3000,2018-02-27
Sindarius Thornwell,SG,3000,2018-02-27
Derrick Walton Jr.,PG/SG,3000,2018-02-27
D.J. Wilson,PF/C,3000,2018-02-27
Furkan Korkmaz,SG/SF,3000,2018-02-27
Caleb Swanigan,PF,3000,2018-02-27
Harry Giles,PF/C,3000,2018-02-27
Devin Robinson,SG,3000,2018-02-27
Anthony Davis,PF/C,11700,2018-02-28
Russell Westbrook,PG,11300,2018-02-28
James Harden,PG/SG,11200,2018-02-28
Giannis Antetokounmpo,SF/PF,10500,2018-02-28
Kevin Durant,SF/PF,9700,2018-02-28
Andre Drummond,C,9600,2018-02-28
Stephen Curry,PG/SG,9500,2018-02-28
Victor Oladipo,PG/SG,9000,2018-02-28
Bradley Beal,PG/SG,8800,2018-02-28
Devin Booker,SG/SF,8600,2018-02-28
Paul George,SF/PF,8500,2018-02-28
Marc Gasol,C,8400,2018-02-28
Chris Paul,PG,8300,2018-02-28
Kyrie Irving,PG,8200,2018-02-28
LaMarcus Aldridge,PF/C,8100,2018-02-28
DeMar DeRozan,SG/SF,8000,2018-02-28
Tyreke Evans,PG/SG,7900,2018-02-28
Louis Williams,PG/SG,7900,2018-02-28
Jrue Holiday,PG/SG,7800,2018-02-28
Kemba Walker,PG,7800,2018-02-28
Dwight Howard,C,7700,2018-02-28
Tobias Harris,SF/PF,7700,2018-02-28
Blake Griffin,PF/C,7700,2018-02-28
Nikola Vucevic,C,7600,2018-02-28
DeAndre Jordan,C,7600,2018-02-28
Kyle Lowry,PG,7500,2018-02-28
Eric Bledsoe,PG/SG,7400,2018-02-28
John Wall,PG,7400,2018-02-28
Myles Turner,C,7300,2018-02-28
Draymond Green,PF/C,7200,2018-02-28
Elfrid Payton,PG,7100,2018-02-28
Aaron Gordon,SF/PF,7000,2018-02-28
Clint Capela,C,6900,2018-02-28
Steven Adams,C,6800,2018-02-28
Khris Middleton,SG/SF,6700,2018-02-28
Otto Porter,SF/PF,6700,2018-02-28
Klay Thompson,SG,6600,2018-02-28
Dennis Schroder,PG,6600,2018-02-28
T.J. Warren,SF/PF,6500,2018-02-28
Nikola Mirotic,PF,6500,2018-02-28
Thaddeus Young,SF/PF,6400,2018-02-28
Nicolas Batum,SG/SF,6400,2018-02-28
Al Horford,PF/C,6300,2018-02-28
Harrison Barnes,SF/PF,6200,2018-02-28
John Collins,PF/C,6100,2018-02-28
Kawhi Leonard,SF/PF,6000,2018-02-28
Danilo Gallinari,SF/PF,6000,2018-02-28
Dejounte Murray,PG,6000,2018-02-28
Carmelo Anthony,SF/PF,5900,2018-02-28
Serge Ibaka,PF/C,5900,2018-02-28
Tomas Satoransky,PG/SG,5900,2018-02-28
Pau Gasol,PF/C,5800,2018-02-28
Jonas Valanciunas,C,5800,2018-02-28
Juan Jose Barea,PG/SG,5800,2018-02-28
Dennis Smith Jr.,PG,5800,2018-02-28
Austin Rivers,PG/SG,5700,2018-02-28
Alex Len,C,5700,2018-02-28
Taurean Prince,SG/SF,5700,2018-02-28
Andrew Harrison,PG/SG,5700,2018-02-28
Rajon Rondo,PG,5600,2018-02-28
Kent Bazemore,SG/SF,5600,2018-02-28
Dwight Powell,PF/C,5600,2018-02-28
Jaylen Brown,SG/SF,5600,2018-02-28
Josh Jackson,SG/SF,5600,2018-02-28
Domantas Sabonis,PF/C,5500,2018-02-28
Bojan Bogdanovic,SG/SF,5400,2018-02-28
JaMychal Green,SF/PF,5400,2018-02-28
